"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2023","HERNANDEZ",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","HARRISON AVENUE REHAB (GROUP B)",,"N/A","N/A","7","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","HARRISON AVENUE REHAB (GROUP A)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","HARLEM RIVER II",,"< 5","22.50","6","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","HARLEM RIVER",,"7","34.16","9","< 5","N/A","N/A","N/A","< 5","< 5","< 5"
"2023","HARBORVIEW TERRACE",,"< 5","25.80","< 5","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","HAMMEL",,"< 5","14.96","19","6","< 5","N/A","N/A","< 5","< 5","N/A"
"2023","HABER",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","GUN HILL",,"6","325.38","12","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","GRAVESEND",,"6","19.98","12","6","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","GRANT",,"< 5","24.41","31","10","N/A","N/A","N/A","N/A","5","N/A"
"2023","GRAMPION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","GOWANUS",,"10","26.87","22","8","6","< 5","15.80","< 5","< 5","N/A"
"2023","GOMPERS",,"< 5","19.68","18","< 5","N/A","N/A","N/A","N/A","N/A","< 5"
"2023","GLENWOOD",,"9","20.27","35","6","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","GLENMORE PLAZA",,"< 5","26.53","19","< 5","N/A","< 5","15.80","< 5","< 5","N/A"
"2023","GLEBE AVENUE-WESTCHESTER AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","GARVEY (GROUP A)",,"5","16.60","< 5","< 5","< 5","5","15.52","N/A","N/A","N/A"
"2023","FULTON",,"< 5","15.33","20","< 5","< 5","< 5","15.33","< 5","< 5","N/A"
"2023","FRANKLIN AVENUE III CONVENTIONAL",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FRANKLIN AVENUE II CONVENTIONAL",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FRANKLIN AVENUE I CONVENTIONAL",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","FORT WASHINGTON AVENUE REHAB",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FORT INDEPENDENCE STREET-HEATH AVENUE",,"< 5","15.77","5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","FOREST",,"5","15.77","22","5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","FIRST HOUSES",,"< 5","22.50","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FIORENTINO PLAZA",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP X)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP VIII)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP VII)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP VI)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP V)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP IX)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP IV)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP III)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP II)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FHA REPOSSESSED HOUSES (GROUP I)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FENIMORE-LEFFERTS",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","FARRAGUT",,"10","17.50","20","19","< 5","< 5","15.56","< 5","< 5","N/A"
"2023","ELLIOTT",,"< 5","25.68","9","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","EDENWALD",,"10","29.21","42","6","< 5","< 5","15.80","< 5","8","N/A"
"2023","EASTCHESTER GARDENS",,"8","24.43","29","7","< 5","< 5","15.80","< 5","N/A","N/A"
"2023","EAST RIVER",,"< 5","15.80","24","6","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","EAST NEW YORK CITY LINE",,"N/A","N/A","5","< 5","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","EAST 180TH STREET-MONTEREY AVENUE",,"N/A","N/A","< 5","N/A","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","EAST 173RD STREET-VYSE AVENUE",,"< 5","14.83","< 5","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","EAST 165TH STREET-BRYANT AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","EAST 152ND STREET-COURTLANDT AVENUE",,"< 5","22.50","6","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","EAGLE AVENUE-EAST 163RD STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","DYCKMAN",,"< 5","19.86","14","5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","DREW-HAMILTON",,"9","23.61","29","10","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","DOUGLASS II",,"6","15.89","9","6","N/A","< 5","18.00","< 5","< 5","N/A"
"2023","DOUGLASS I",,"< 5","16.34","29","8","< 5","< 5","15.80","< 5","6","N/A"
"2023","DOUGLASS ADDITION",,"< 5","21.65","11","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","DE HOSTOS APARTMENTS",,"< 5","16.08","6","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","DAVIDSON",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CYPRESS HILLS",,"9","19.76","42","9","< 5","< 5","16.20","< 5","5","N/A"
"2023","CROWN HEIGHTS",,"< 5","27.08","< 5","< 5","< 5","< 5","27.08","N/A","N/A","N/A"
"2023","CORSI HOUSES",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","COOPER PARK",,"6","35.16","13","< 5","N/A","< 5","15.80","N/A","< 5","N/A"
"2023","CONLON LIHFE TOWER",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CONEY ISLAND I (SITES 4 & 5)",,"< 5","15.05","6","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","CONEY ISLAND I (SITE 8)",,"< 5","43.80","7","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CONEY ISLAND I (SITE 1B)",,"< 5","22.50","7","N/A","N/A","< 5","22.50","< 5","N/A","N/A"
"2023","CONEY ISLAND",,"< 5","19.21","16","6","< 5","N/A","N/A","< 5","< 5","N/A"
"2023","COLLEGE AVENUE-EAST 165TH STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CLINTON",,"< 5","33.61","13","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","CLASON POINT GARDENS",,"< 5","15.09","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CLAREMONT REHAB (GROUP 5)",,"< 5","15.80","N/A","< 5","< 5","< 5","15.80","N/A","N/A","N/A"
"2023","CLAREMONT REHAB (GROUP 4)",,"< 5","14.83","7","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CLAREMONT REHAB (GROUP 3)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CLAREMONT REHAB (GROUP 2)",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","CLAREMONT PARKWAY-FRANKLIN AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","CHELSEA ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CHELSEA",,"< 5","46.60","15","< 5","< 5","N/A","N/A","< 5","< 5","< 5"
"2023","CASTLE HILL",,"7","21.39","32","8","< 5","N/A","N/A","< 5","7","N/A"
"2023","CASSIDY-LAFAYETTE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","CARVER",,"8","26.80","17","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2023","CARLETON MANOR",,"< 5","14.83","9","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","CAREY GARDENS",,"< 5","15.32","29","9","< 5","< 5","15.80","< 5","< 5","< 5"
"2023","CAMPOS PLAZA II",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BUTLER",,"6","22.95","56","14","6","< 5","15.80","N/A","5","N/A"
"2023","BUSHWICK II CDA (GROUP E)",,"N/A","N/A","5","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","BUSHWICK II (GROUPS B & D)",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BUSHWICK II (GROUPS A & C)",,"< 5","21.45","13","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","BUSHWICK",,"5","21.44","32","8","< 5","5","15.80","N/A","< 5","N/A"
"2023","BRYANT AVENUE-EAST 174TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BROWNSVILLE",,"14","19.53","38","19","5","5","15.80","< 5","< 5","N/A"
"2023","BROWN",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BRONX RIVER ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BRONX RIVER",,"5","20.99","22","5","< 5","N/A","N/A","< 5","N/A","N/A"
"2023","BREVOORT",,"6","18.22","45","6","< 5","< 5","15.80","< 5","8","N/A"
"2023","BREUKELEN",,"14","21.05","53","20","8","8","18.98","< 5","6","N/A"
"2023","BRACETTI PLAZA",,"< 5","15.80","< 5","< 5","< 5","< 5","15.80","N/A","N/A","N/A"
"2023","BOYNTON AVENUE REHAB",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BOULEVARD",,"< 5","30.33","30","5","< 5","N/A","N/A","< 5","6","N/A"
"2023","BOSTON SECOR",,"< 5","17.33","14","< 5","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","BOSTON ROAD PLAZA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BORINQUEN PLAZA II",,"< 5","15.80","7","< 5","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","BORINQUEN PLAZA I",,"< 5","17.40","8","< 5","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","BLAND",,"< 5","26.46","9","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BETANCES VI",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","BETANCES V",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BETANCES IV",,"N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BETANCES III, 9A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BETANCES III, 18",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BETANCES III, 13",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BETANCES II, 9A",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BETANCES II, 18",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BETANCES II, 13",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BETANCES I",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BERRY STREET-SOUTH 9TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","BERRY",,"5","15.65","45","< 5","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","BELMONT-SUTTER AREA",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","BEDFORD-STUYVESANT REHAB",,"< 5","16.25","N/A","N/A","N/A","< 5","15.80","N/A","N/A","N/A"
"2023","BEACH 41ST STREET-BEACH CHANNEL DRIVE",,"9","31.81","24","12","< 5","< 5","15.80","N/A","< 5","N/A"
"2023","BAYCHESTER",,"N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BAY VIEW",,"13","17.33","81","18","< 5","< 5","15.62","9","8","N/A"
"2023","BARUCH HOUSES ADDITION",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","BARUCH",,"8","15.12","36","14","< 5","< 5","15.80","< 5","6","N/A"
"2023","BAISLEY PARK",,"< 5","15.80","< 5","< 5","< 5","< 5","15.80","N/A","N/A","N/A"
"2023","BAILEY AVENUE-WEST 193RD STREET",,"N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","AUDUBON",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","ATLANTIC TERMINAL SITE 4B",,"< 5","17.42","9","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","ASTORIA",,"17","29.93","64","11","< 5","< 5","15.80","< 5","5","N/A"
"2023","ARMSTRONG II",,"N/A","N/A","< 5","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2023","ARMSTRONG I",,"N/A","N/A","12","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2023","AMSTERDAM ADDITION",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","AMSTERDAM",,"6","26.27","18","7","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","ALBANY II",,"< 5","14.83","14","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2023","ALBANY",,"< 5","15.80","34","6","< 5","< 5","15.80","< 5","< 5","N/A"
"2023","ADAMS",,"< 5","19.39","23","< 5","< 5","N/A","N/A","N/A","< 5","N/A"
"2023","830 AMSTERDAM AVENUE",,"< 5","26.27","< 5","< 5","< 5","< 5","15.09","N/A","< 5","N/A"
"2023","572 WARREN STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","45 ALLEN STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2023","344 EAST 28TH STREET",,"< 5","23.50","5","N/A","N/A","< 5","23.50","N/A","< 5","N/A"
"2023","335 EAST 111TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","303 VERNON AVENUE",,"< 5","26.46","7","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","154 WEST 84TH STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","1471 WATSON AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","131 SAINT NICHOLAS AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","1162-1176 WASHINGTON AVENUE",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","104-14 TAPSCOTT STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2023","1010 EAST 178TH STREET",,"N/A","N/A","5","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","104-14 TAPSCOTT STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","Unknown",,"166","37.42","277","22","N/A","N/A","N/A","44","31","N/A"
"2022","SECTION 8*",,"32","26.68","1596","20","5","< 5","20","279","47","6"
"2022","WYCKOFF GARDENS",,"< 5","18.98","27","8","< 5","< 5","15.8","< 5","< 5","< 5"
"2022","WSUR (SITE C) 589 AMSTERDAM AVENUE",,"< 5","15.80","< 5","N/A","< 5","< 5","15.8","N/A","< 5","N/A"
"2022","WSUR (SITE B) 74 WEST 92ND STREET",,"< 5","26.00","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WSUR (SITE A) 120 WEST 94TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2022","WSUR (BROWNSTONES)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WOODSON",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WOODSIDE",,"< 5","16.87","78","12","< 5","< 5","15.8","10","N/A","N/A"
"2022","WISE TOWERS",,"N/A","N/A","8","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2022","WILSON",,"< 5","31.49","28","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","WILLIAMSBURG",,"10","34.55","24","< 5","< 5","< 5","27.91","< 5","< 5","N/A"
"2022","WILLIAMS PLAZA",,"< 5","18.60","13","N/A","N/A","< 5","15.8","< 5","N/A","N/A"
"2022","WHITMAN",,"16","22.42","35","14","< 5","< 5","15.8","< 5","< 5","N/A"
"2022","WHITE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WEST TREMONT AVENUE-SEDGWICK AVENUE AREA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WEST FARMS SQUARE CONVENTIONAL",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WEST FARMS ROAD REHAB",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
"2022","WEST BRIGHTON II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WEST BRIGHTON I",,"< 5","22.36","59","< 5","N/A","N/A","N/A","7","< 5","N/A"
"2022","WEEKSVILLE GARDENS",,"N/A","N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A"
"2022","WEBSTER",,"< 5","16.36","16","5","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","WASHINGTON HEIGHTS REHAB PHASE IV (D)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WASHINGTON HEIGHTS REHAB PHASE IV (C)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WASHINGTON HEIGHTS REHAB (GROUPS 1&2)",,"< 5","31.49","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","WASHINGTON",,"10","26.82","38","20","5","5","15.8","< 5","5","N/A"
"2022","WALD",,"< 5","47.16","38","12","< 5","N/A","N/A","6","< 5","N/A"
"2022","WAGNER",,"15","19.61","58","24","9","5","16.03","6","10","N/A"
"2022","VLADECK II",,"N/A","N/A","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","VLADECK",,"< 5","17.40","30","6","< 5","< 5","15.8","< 5","N/A","N/A"
"2022","VANDALIA AVENUE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","VAN DYKE II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","VAN DYKE I",,"10","20.72","64","24","5","5","15.8","< 5","8","N/A"
"2022","UPACA (SITE 6)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","UPACA (SITE 5)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","UNIVERSITY AVENUE REHAB",,"N/A","N/A","5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","UNITY PLAZA (SITES 4-27)",,"< 5","24.08","14","7","< 5","N/A","N/A","< 5","N/A","N/A"
"2022","UNITY PLAZA (SITES 17,24,25A)",,"5","31.07","5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2022","UNION AVENUE-EAST 166TH STREET",,"< 5","15.80","< 5","N/A","< 5","< 5","15.8","< 5","N/A","N/A"
"2022","UNION AVENUE-EAST 163RD STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TWO BRIDGES URA (SITE 7)",,"< 5","20.00","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TWIN PARKS WEST (SITES 1 & 2)",,"< 5","17.07","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TWIN PARKS EAST (SITE 9)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TOMPKINS",,"11","30.79","42","13","< 5","< 5","21.4","< 5","10","N/A"
"2022","TODT HILL",,"< 5","41.94","54","< 5","N/A","N/A","N/A","< 5","N/A","N/A"
"2022","TILDEN",,"8","25.01","41","12","< 5","< 5","15.8","6","< 5","N/A"
"2022","THROGGS NECK ADDITION",,"< 5","42.70","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2022","THROGGS NECK",,"5","17.27","43","7","< 5","< 5","15.8","5","< 5","< 5"
"2022","THOMAS APARTMENTS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TELLER AVENUE-EAST 166TH STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TAYLOR STREET-WYTHE AVENUE",,"< 5","35.00","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","TAPSCOTT STREET REHAB",,"< 5","20.50","10","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","TAFT",,"8","37.60","38","11","< 5","N/A","N/A","< 5","< 5","N/A"
"2022","SUTTER AVENUE-UNION STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SURFSIDE GARDENS",,"5","32.98","11","6","< 5","< 5","15.8","N/A","N/A","N/A"
"2022","SUMNER",,"5","33.71","13","5","N/A","< 5","15.8","< 5","5","N/A"
"2022","STUYVESANT GARDENS II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","STUYVESANT GARDENS I",,"< 5","27.00","8","7","< 5","N/A","N/A","N/A","< 5","N/A"
"2022","STRAUS",,"< 5","25.50","7","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","STERLING PLACE REHABS (STERLING-BUFFALO)",,"< 5","18.98","8","5","< 5","< 5","15.8","N/A","N/A","N/A"
"2022","STERLING PLACE REHABS (SAINT JOHNS-STERLING)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2022","STEBBINS AVENUE-HEWITT PLACE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","STAPLETON",,"< 5","25.86","126","6","N/A","< 5","43.48","11","< 5","N/A"
"2022","STANTON STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SOUTH JAMAICA II",,"5","26.24","21","5","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","SOUTH JAMAICA I",,"< 5","34.51","19","6","N/A","< 5","42.7","< 5","N/A","N/A"
"2022","SOUTH BRONX AREA (SITE 402)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SOUTH BEACH",,"< 5","24.04","45","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2022","SOUNDVIEW",,"6","25.80","29","11","< 5","< 5","15.8","< 5","< 5","N/A"
"2022","SOTOMAYOR HOUSES",,"7","17.71","25","21","5","< 5","15.8","< 5","< 5","N/A"
"2022","SMITH",,"14","29.14","44","21","< 5","< 5","15.8","7","5","N/A"
"2022","SHELTON HOUSE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SHEEPSHEAD BAY",,"7","21.34","28","11","< 5","< 5","15.8","< 5","< 5","N/A"
"2022","SEWARD PARK EXTENSION",,"< 5","16.20","10","< 5","N/A","< 5","15.8","N/A","< 5","N/A"
"2022","SEDGWICK",,"< 5","20.03","6","8","< 5","< 5","15.8","N/A","N/A","N/A"
"2022","SARATOGA VILLAGE",,"< 5","18.58","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SAMUEL (MHOP) III",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SAMUEL (MHOP) II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SAMUEL (MHOP) I",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SAMUEL (CITY)",,"< 5","38.39","17","6","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","SAINT NICHOLAS",,"6","16.26","45","21","5","< 5","15.8","5","5","N/A"
"2022","SAINT MARY'S PARK",,"< 5","15.80","13","7","< 5","< 5","15.8","< 5","< 5","< 5"
"2022","SACK WERN",,"< 5","32.43","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2022","RUTLAND TOWERS",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2022","RUTGERS",,"5","42.39","15","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2022","ROOSEVELT II",,"< 5","15.80","13","5","< 5","< 5","15.8","N/A","< 5","N/A"
"2022","ROOSEVELT I",,"< 5","15.80","21","5","< 5","< 5","15.8","< 5","< 5","< 5"
"2022","ROBINSON",,"N/A","N/A","10","N/A","N/A","N/A","N/A","< 5","N/A","N/A"
