"Year","NYCHA Development","Borough","Total number of resident job placements","Average wage of such residents","Total number of resident connections to services","Total number of residents that applied for the NYCHA Resident Training Academy","Total number of residents that were accepted and enrolled","Total number residents placed into full-time or part-time jobs","Average Wage of such residents","Number of residents that enrolled in financial counseling services/workshops through the REES Zone Partner program","Total number of residents enrolled in vocational training programs through the program","Total number of residents enrolled in prep courses for English as a Second Language (ESOL) or the Test Assessing Secondary Completion (TASC) through the program"
"2024","THROGGS NECK ADDITION",,"< 5","$41.45","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","THROGGS NECK",,"10","$24.40","17","6","< 5","< 5","$20.42","< 5","< 5","N/A"
"2024","THOMAS APARTMENTS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","TELLER AVENUE-EAST 166TH STREET",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","TAYLOR STREET-WYTHE AVENUE",,"< 5","$17.11","6","< 5","< 5","N/A","N/A","< 5","N/A","N/A"
"2024","TAPSCOTT STREET REHAB",,"< 5","$18.25","< 5","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","TAFT",,"< 5","$17.52","30","9","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","SUTTER AVENUE-UNION STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SURFSIDE GARDENS",,"< 5","$41.45","8","N/A","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","SUMNER",,"< 5","$31.50","18","6","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","STUYVESANT GARDENS II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","STUYVESANT GARDENS I",,"5","$17.31","15","11","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","STRAUS",,"< 5","$20.00","7","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","STERLING PLACE REHABS (STERLING-BUFFALO)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","STERLING PLACE REHABS (SAINT JOHNS-STERLING)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","STEBBINS AVENUE-HEWITT PLACE",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","STAPLETON",,"< 5","$16.70","74","8","< 5","< 5","$16.70","< 5","< 5","N/A"
"2024","STANTON STREET",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SOUTH JAMAICA II",,"6","$29.33","11","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","SOUTH JAMAICA I",,"5","$16.85","12","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","SOUTH BRONX AREA (SITE 402)",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","SOUTH BEACH",,"< 5","$17.11","24","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","SOUNDVIEW",,"6","$33.58","18","5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","SOTOMAYOR HOUSES",,"< 5","N/A","38","9","< 5","< 5","N/A","< 5","< 5","N/A"
"2024","SMITH",,"15","$38.13","52","6","N/A","< 5","$40.65","< 5","11","N/A"
"2024","SHELTON HOUSE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SHEEPSHEAD BAY",,"< 5","$24.05","23","7","< 5","< 5","$17.31","< 5","< 5","N/A"
"2024","SEWARD PARK EXTENSION",,"N/A","N/A","7","< 5","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SEDGWICK",,"< 5","$17.11","7","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","SARATOGA VILLAGE",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SAMUEL (MHOP) III",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SAMUEL (MHOP) II",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","SAMUEL (MHOP) I",,"< 5","$17.31","< 5","< 5","< 5","< 5","$17.31","N/A","N/A","N/A"
"2024","SAMUEL (CITY)",,"< 5","$41.85","21","N/A","N/A","N/A","N/A","< 5","6","N/A"
"2024","SAINT NICHOLAS",,"13","$18.02","32","16","5","< 5","$17.31","N/A","17","N/A"
"2024","SAINT MARY'S PARK",,"5","$20.42","23","< 5","< 5","< 5","$17.31","N/A","< 5","N/A"
"2024","SACK WERN",,"N/A","N/A","< 5","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","RUTLAND TOWERS",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","RUTGERS",,"< 5","$41.45","33","< 5","< 5","N/A","N/A","< 5","< 5","N/A"
"2024","ROOSEVELT II",,"N/A","N/A","8","< 5","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","ROOSEVELT I",,"8","$20.68","18","12","< 5","< 5","$18.87","N/A","< 5","N/A"
"2024","ROBINSON",,"< 5","$23.45","< 5","< 5","N/A","N/A","N/A","< 5","< 5","N/A"
"2024","ROBBINS PLAZA",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","RIIS",,"8","$29.74","25","7","< 5","< 5","$19.38","< 5","6","N/A"
"2024","RICHMOND TERRACE",,"< 5","$17.31","45","< 5","N/A","< 5","$17.31","< 5","N/A","N/A"
"2024","REID APARTMENTS",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","REHAB PROGRAM (WISE REHAB)",,"N/A","N/A","8","N/A","N/A","N/A","N/A","N/A","< 5","N/A"
"2024","REHAB PROGRAM (TAFT REHABS)",,"< 5","$0.00","< 5","N/A","N/A","< 5","$17.31","N/A","N/A","N/A"
"2024","REHAB PROGRAM (DOUGLASS REHABS)",,"< 5","$17.31","< 5","< 5","< 5","< 5","$17.31","N/A","N/A","N/A"
"2024","REHAB PROGRAM (COLLEGE POINT)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","REDFERN",,"< 5","$17.31","16","7","< 5","< 5","$17.31","< 5","N/A","N/A"
"2024","RED HOOK WEST",,"7","$27.24","36","15","6","< 5","$17.31","< 5","6","N/A"
"2024","RED HOOK EAST",,"7","$22.48","35","14","< 5","< 5","$17.31","< 5","7","N/A"
"2024","RAVENSWOOD",,"10","$19.69","102","13","6","5","$17.93","7","12","N/A"
"2024","RANGEL",,"N/A","N/A","20","6","< 5","N/A","N/A","N/A","< 5","N/A"
"2024","RANDALL AVENUE-BALCOM AVENUE",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","RALPH AVENUE REHAB",,"N/A","N/A","< 5","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","QUEENSBRIDGE SOUTH",,"11","$27.37","47","14","< 5","< 5","$17.31","< 5","8","N/A"
"2024","QUEENSBRIDGE NORTH",,"7","$20.31","45","9","< 5","< 5","$17.31","< 5","6","N/A"
"2024","PUBLIC SCHOOL 139 (CONVERSION)",,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"2024","POMONOK",,"10","$20.90","57","15","< 5","< 5","$17.31","< 5","6","N/A"
"2024","POLO GROUNDS TOWERS",,"12","$22.42","26","17","10","5","$17.31","N/A","5","N/A"
"2024","PINK",,"10","$25.48","53","15","< 5","< 5","$17.31","< 5","5","N/A"
