"the_geom","DEVELOPMENT","TDS_NUM","BOROUGH"
"MULTIPOLYGON (((-73.91324477796012 40.828567940562, -73.91328210707562 40.82850155530022, -73.91330328676145 40.82850830873126, -73.9136459354045 40.828617564484844, -73.91358787021862 40.82871551650135, -73.91322657382567 40.82860031408365, -73.91324477796012 40.828567940562)), ((-73.91299879129625 40.82900540230599, -73.91300643071132 40.828991816892696, -73.91335769171776 40.8291038210967, -73.91328349210237 40.82922899180775, -73.91293546447615 40.829118019088035, -73.91296191672761 40.82907097646774, -73.91299879129625 40.82900540230599)), ((-73.91310843999322 40.82990083842711, -73.91316815066673 40.82979969475298, -73.91350256706625 40.82990655479126, -73.91344086673094 40.83001010236543, -73.91310843999322 40.82990083842711)), ((-73.91321076273098 40.83039627697221, -73.91326780154964 40.83030055132423, -73.91363237527823 40.830417046436864, -73.91357367469325 40.83051556165186, -73.91321076273098 40.83039627697221)), ((-73.91309616300909 40.83058860126585, -73.91315523863042 40.83048945803132, -73.91351815218783 40.83060874198456, -73.91328819508226 40.83099466918185, -73.91292527864742 40.83087538361152, -73.9130379177264 40.83068635112847, -73.91309616300909 40.83058860126585)), ((-73.9099668324447 40.83273792984167, -73.91002278513704 40.83263847693464, -73.91028841758283 40.83272512326798, -73.91023246521446 40.83282457630212, -73.9099668324447 40.83273792984167)), ((-73.90984685465057 40.832951180444624, -73.9098525984011 40.83294097062205, -73.91011823064625 40.833027618242475, -73.91006065436045 40.83312995600867, -73.90979502059376 40.83304331005731, -73.90981023390123 40.83301627019206, -73.90984685465057 40.832951180444624)), ((-73.90973615195468 40.83314794111163, -73.90973804872071 40.83314457114366, -73.91000368281627 40.833231218125434, -73.90994626662118 40.833333268698375, -73.90988935652831 40.833434420943014, -73.90962372176914 40.833347774601556, -73.90962457032867 40.83334626603731, -73.90966170604129 40.833280262753654, -73.90968063219174 40.83324662248651, -73.90969923387458 40.83321355917938, -73.90973615195468 40.83314794111163)))","CLAREMONT REHAB (GROUP 4)","335","BRONX"
"MULTIPOLYGON (((-73.91392395029798 40.830264459410586, -73.9139792029397 40.83017027822653, -73.91430481883849 40.83027520950895, -73.91429248472839 40.83029623320821, -73.91424956657033 40.830369390847224, -73.91392395029798 40.830264459410586)), ((-73.91370070321852 40.83064499669175, -73.91386759251266 40.830360524477655, -73.91419321153852 40.830465455173204, -73.91418056725325 40.83048700541857, -73.91412149471724 40.83058769983201, -73.91406652827445 40.83068139412312, -73.91402632100109 40.83074992875212, -73.91370070321852 40.83064499669175)), ((-73.91359031026244 40.830833167029894, -73.91364416418777 40.83074136857723, -73.91396978353829 40.83084630079637, -73.91395268824303 40.83087544066946, -73.91391592997749 40.83093809939944, -73.91389572639052 40.83097253635686, -73.91384153637836 40.831064903785155, -73.91375831078204 40.83120676589699, -73.91373237170092 40.83125097881164, -73.91409427074832 40.83136760101195, -73.91372721360284 40.83199779503329, -73.91342880820285 40.831108450612746, -73.91343269118643 40.831101833088084, -73.91359031026244 40.830833167029894)))","CLAREMONT REHAB (GROUP 5)","336","BRONX"
"MULTIPOLYGON (((-73.86893955397493 40.818494652306015, -73.86987023545016 40.81836922073215, -73.87030956827685 40.820263187873394, -73.8686662305878 40.820484741196516, -73.86854141762157 40.81994852666181, -73.86924570921718 40.8198532119814, -73.86893955397493 40.818494652306015)), ((-73.86781299140839 40.82087450004175, -73.87036306308627 40.820532301277254, -73.87080652741616 40.822468114751224, -73.86826369797332 40.82281201369688, -73.86781299140839 40.82087450004175)))","CLASON POINT GARDENS","011","BRONX"
"MULTIPOLYGON (((-73.94742911674923 40.791762854525444, -73.94779182708018 40.79126430599176, -73.94857372829097 40.791594227208236, -73.94821075514048 40.792093144560475, -73.94742911674923 40.791762854525444)), ((-73.94731197809787 40.79220881441426, -73.94749258596268 40.79196056402433, -73.94811566118088 40.79222385175408, -73.94775531084825 40.79271915149678, -73.94754574010749 40.79263059565856, -73.94772547524707 40.79238354398921, -73.94746696598567 40.792274307416186, -73.94731197809787 40.79220881441426)), ((-73.94503249857212 40.79416262976751, -73.9453916815491 40.793668637505114, -73.94666404640311 40.794207382124874, -73.94630442585911 40.79469961672551, -73.94503249857212 40.79416262976751)), ((-73.94460484900407 40.79475077489713, -73.94493682238407 40.794294215612254, -73.94620839961831 40.794831053967684, -73.9458827305755 40.795276806629644, -73.94460484900407 40.79475077489713)))","CLINTON","123","MANHATTAN"
"MULTIPOLYGON (((-73.9147732771866 40.829510319441255, -73.91496333300506 40.82917985460536, -73.91511709654431 40.82891226863556, -73.91544128452804 40.829016070064476, -73.91509999939042 40.82961724840863, -73.9147732771866 40.829510319441255)))","COLLEGE AVENUE-EAST 165TH STREET","236","BRONX"
"MULTIPOLYGON (((-73.99511484462197 40.57161058975807, -73.9951297520872 40.571701907194004, -73.99534208316274 40.571791208422624, -73.99589990055783 40.57180983362536, -73.99591567249789 40.5719770255926, -73.99675474272976 40.57192745146384, -73.99674628678292 40.571837826509416, -73.99738409740621 40.57177035028263, -73.99737069100307 40.571628253488974, -73.99779864301001 40.57167704300749, -73.9977873839193 40.57167623592107, -73.99777516469693 40.57167617354888, -73.99776093664848 40.57167733044659, -73.99774952040221 40.57167920871802, -73.9977402062242 40.57168140851687, -73.99773250875455 40.57168371100678, -73.99772425385471 40.57168671499377, -73.99771620323988 40.57169023408437, -73.99770941741674 40.57169371267602, -73.99770300712262 40.57169749385103, -73.9976972239052 40.571701388504415, -73.99769137099064 40.571705880203936, -73.99768591958592 40.571710678089644, -73.99767964854713 40.571717141929184, -73.99767529303982 40.57172243602551, -73.99767140517811 40.57172795166033, -73.99766588273471 40.57173786362312, -73.99766102740105 40.57175127864014, -73.99765943166473 40.571759256355605, -73.99765884689465 40.571765023303534, -73.99765976762293 40.571776698624454, -73.99766126720809 40.57178285554202, -73.99767182304171 40.57183507628038, -73.99767444655237 40.571850942677266, -73.99767782009336 40.57186313945132, -73.99768414713101 40.57187687888355, -73.99769688658336 40.57189447629176, -73.99770952467128 40.57190651385733, -73.99772740498372 40.57191879736855, -73.99774282200073 40.57192646113723, -73.99775388380368 40.57193057314957, -73.9977592405021 40.571933036189044, -73.9977615444811 40.5719345527175, -73.99776432081694 40.57193675005171, -73.99776624215886 40.57193857725352, -73.99776841502019 40.57194108075428, -73.99777065634788 40.57194444875995, -73.99777257642653 40.57194874700129, -73.99777327664441 40.5719512882954, -73.99777369815124 40.57195404300847, -73.99789502813064 40.57261273762523, -73.99769973042179 40.57261124171133, -73.99755283551103 40.5726109919323, -73.99741418249579 40.572611444560344, -73.99726767488124 40.57261265057365, -73.99713954180257 40.572614317027146, -73.99696543271368 40.57261681601816, -73.99684299061542 40.57261958453313, -73.99672307337825 40.57262280145088, -73.99657910816428 40.572627325992144, -73.99644154715803 40.57263413788396, -73.99632964965704 40.57263958703962, -73.99621005575442 40.572646120064185, -73.9960171994155 40.57265799235945, -73.99587309324862 40.572667286990225, -73.99566854868364 40.57268115834475, -73.995474774497 40.572693668166714, -73.99530394622265 40.57270767077129, -73.99516992047023 40.57271795280701, -73.99505772116632 40.57272898846596, -73.99489474021367 40.57187766859597, -73.9948945655681 40.57187590806252, -73.99489457755797 40.57187354778794, -73.99489497575597 40.57187068503784, -73.9948960707641 40.57186715052724, -73.99489786252597 40.57186367728329, -73.99490044669875 40.57186026170806, -73.99490338865382 40.57185743058906, -73.99490657620765 40.57185509296848, -73.99491021013614 40.571853058844404, -73.99491768011252 40.571846650141204, -73.99492702093744 40.571837204050475, -73.99493725246542 40.57182416850705, -73.994946509954 40.571807893732675, -73.99495308686947 40.57178925766415, -73.9949559689507 40.57176602245359, -73.99495362875655 40.571744575455654, -73.99494670170544 40.57172404949259, -73.99493787770163 40.571708283618925, -73.99492845706462 40.57169595051813, -73.99491569558145 40.571683085959215, -73.99489955420958 40.57167065440129, -73.99488094690922 40.57165984997918, -73.99486227563344 40.57165178044466, -73.99484258505761 40.57164566229834, -73.99482063756655 40.57164130817462, -73.99479696454306 40.57163923409706, -73.99476804317048 40.57164021885799, -73.99511484462197 40.57161058975807)))","CONEY ISLAND","094","BROOKLYN"
"MULTIPOLYGON (((-73.98779031082287 40.57595760594489, -73.98771389377369 40.575966033009166, -73.9876628266288 40.57597166391817, -73.98761019931595 40.57597746843734, -73.98755871288274 40.57598314608211, -73.98750384865407 40.57598919615344, -73.98746783979117 40.5759931662448, -73.98745801040437 40.5759415561233, -73.98735163615196 40.57595328639749, -73.98728073925334 40.57596110502684, -73.98722813199356 40.575966905771224, -73.98717378504584 40.57597289900942, -73.98707096800148 40.57598423679219, -73.98699793334507 40.57599229004328, -73.9869258068953 40.576000243393004, -73.98673706763496 40.575009135264864, -73.98756101724852 40.57477084241442, -73.98779031082287 40.57595760594489)))","CONEY ISLAND I (SITE 1B)","239","BROOKLYN"
"MULTIPOLYGON (((-74.0014583726836 40.57380686930472, -74.00102225237015 40.57385621555105, -74.00104294605667 40.57396486814619, -74.00061066496419 40.57401377694051, -74.00043474411294 40.57308504610256, -74.00134767229589 40.573225619906204, -74.0014583726836 40.57380686930472)))","CONEY ISLAND I (SITE 8)","238","BROOKLYN"
"MULTIPOLYGON (((-73.99208019144454 40.574632502658666, -73.99241077879645 40.57459607264547, -73.99290679861639 40.57445697421842, -73.99291220418154 40.57445545896946, -73.99289030427241 40.57434054079142, -73.99293049102731 40.57432938667412, -73.9929420166528 40.57432618691893, -73.99358587207563 40.57414747146809, -73.99391437084732 40.57405628782388, -73.99413554902468 40.57520400329718, -73.99398929532447 40.57522012232869, -73.99385961833067 40.57523441489719, -73.99343108425359 40.57528164530867, -73.99328857641122 40.57529735032137, -73.99311853417342 40.57531604235167, -73.9930789982911 40.57532044714287, -73.99307134645093 40.57532130037874, -73.99222925782558 40.57541511896558, -73.99208019144454 40.574632502658666)))","CONEY ISLAND I (SITES 4 & 5)","216","BROOKLYN"
"MULTIPOLYGON (((-73.78762945320264 40.706307665703875, -73.78776581036644 40.7062747674763, -73.78790388572831 40.706241454414766, -73.78829021155063 40.70614824649737, -73.78827383184066 40.70610318616738, -73.78836618327604 40.70608090438405, -73.788441820364 40.70606265492747, -73.78851745977443 40.70604440632602, -73.78849173694621 40.70598276030324, -73.78865620520978 40.70592525299596, -73.78882113046096 40.70586758510023, -73.78889327717248 40.70584235806458, -73.78909900554783 40.706333698114015, -73.78841560220815 40.706498586979855, -73.7883815801543 40.70640538878127, -73.78808205094178 40.706477655989325, -73.78773529215302 40.70656131688799, -73.78762945320264 40.706307665703875)))","CONLON LIHFE TOWER","232","QUEENS"
"MULTIPOLYGON (((-73.93663999651291 40.71706477899324, -73.93668128068789 40.71705290506483, -73.93673401260733 40.71703773974429, -73.9367888008367 40.717021982992854, -73.9368449883421 40.71700582265381, -73.93689475584934 40.71699150931724, -73.93695334294723 40.716974659549095, -73.93700542955054 40.71695967925594, -73.93705824419146 40.71694448951823, -73.93711443274982 40.7169283290482, -73.9371672331346 40.716913143755285, -73.93721947945886 40.71689811842676, -73.93727418695927 40.716882383012425, -73.93733084184407 40.71686608851472, -73.93738619211341 40.71685016969282, -73.93743897461759 40.716834988767985, -73.93749070466826 40.71682011071951, -73.93754520368445 40.71680443629783, -73.9375992090165 40.71678890386328, -73.9376565337925 40.71677241595852, -73.93770658743821 40.71675802047916, -73.93776435254604 40.71674140668747, -73.93781586936271 40.71672658871173, -73.93785360635937 40.71671573542632, -73.93835588660161 40.71781438306117, -73.94011055903377 40.71725303062188, -73.94033226895786 40.71862077486396, -73.93764249883168 40.71931469899411, -73.93663999651291 40.71706477899324)))","COOPER PARK","069","BROOKLYN"
"MULTIPOLYGON (((-73.87107027198422 40.67121628209337, -73.8726203039367 40.67099312009618, -73.87229209815041 40.6696711071143, -73.87074209463853 40.66989426562414, -73.87029862889266 40.66810773787723, -73.87187233680955 40.66697073861291, -73.87372695595504 40.66946450778045, -73.8744247867999 40.672292652223355, -73.87144402102807 40.67272182038742, -73.87107027198422 40.67121628209337)))","CYPRESS HILLS","070","BROOKLYN"
"MULTIPOLYGON (((-73.97217200669232 40.792841996395595, -73.9719413751917 40.792745281687026, -73.97161865901592 40.79260994933672, -73.97188272096285 40.79224835603268, -73.97260277609226 40.79255030959973, -73.97249698036617 40.792695183899625, -73.97237191440247 40.792866445342156, -73.9723387168586 40.79291190453635, -73.97217200669232 40.792841996395595)))","DE HOSTOS APARTMENTS","155","MANHATTAN"
"MULTIPOLYGON (((-73.96800745818803 40.798139637891985, -73.96782407764914 40.79839109905358, -73.9679146119582 40.79842927574983, -73.96801417043683 40.7984712576883, -73.96811916576084 40.79851553191488, -73.96819430365832 40.798547216032965, -73.96816007353712 40.79859415412064, -73.9678443619087 40.79846220544896, -73.96769785154027 40.79866461386675, -73.96731813759908 40.7985044952889, -73.96768167594757 40.7980022604595, -73.96800745818803 40.798139637891985)))","DOUGLASS ADDITION","148","MANHATTAN"
"MULTIPOLYGON (((-73.96263926384194 40.79725910565842, -73.96431693087104 40.7949694033016, -73.96539102026001 40.79554523760392, -73.96378131460136 40.79774223250319, -73.96263926384194 40.79725910565842)), ((-73.96407344845925 40.79788935208911, -73.96488321728339 40.79677200975534, -73.96603659013381 40.79725055471783, -73.96602022398146 40.79733118963522, -73.96601201773086 40.79741802869647, -73.96571687705082 40.79780660902461, -73.96528115278642 40.79838027108167, -73.96527199385964 40.79839297614923, -73.96407344845925 40.79788935208911)))","DOUGLASS I","082","MANHATTAN"
"MULTIPOLYGON (((-73.96527330804926 40.79839352835539, -73.96528115278657 40.79838027108167, -73.96601201773086 40.79741802869634, -73.96602022398163 40.79733118963522, -73.96603659013398 40.79725055471783, -73.96488321728354 40.79677200975534, -73.96569297029056 40.79565464585297, -73.96708675796408 40.79624060947266, -73.96677167030828 40.79667275354023, -73.96727793705487 40.79688558739355, -73.9672002888585 40.79699208272819, -73.96671713888117 40.79678793963382, -73.966359604088 40.7972782920781, -73.9663432873136 40.79727139759238, -73.9663280379505 40.797264954566366, -73.96630646351859 40.79725583880786, -73.96627651979799 40.79724677372646, -73.96625618561667 40.79724312255303, -73.96621991784167 40.797241092109495, -73.9661942912385 40.79724301616821, -73.96617082358254 40.797247314571884, -73.96614921644615 40.79725363243737, -73.96613361942428 40.79725980348229, -73.9661182432332 40.79726745050895, -73.96609993700814 40.797279082283126, -73.96608726711861 40.79728926500785, -73.9660775528506 40.79729872279842, -73.96606502721937 40.79731413926695, -73.96605741592629 40.79732650718911, -73.96605306496473 40.797335482087966, -73.9660488514367 40.79734681813706, -73.96604513785002 40.797363006225204, -73.96604437765922 40.79738749058556, -73.96604695635274 40.79740326899873, -73.96605027682628 40.79741439835088, -73.96605779981631 40.797431150759415, -73.96606669756873 40.797445150744856, -73.96607637969235 40.797456960945446, -73.96608659590673 40.797467082865644, -73.96610062351665 40.79747836304778, -73.96611040168914 40.79748540602886, -73.96612020638896 40.797491552119354, -73.96613226586791 40.797498056369854, -73.96614160461715 40.79750240222285, -73.9661480292399 40.7975050776931, -73.9661579098642 40.7975087330208, -73.96616814144573 40.7975119733203, -73.9661816137414 40.79751546040614, -73.96619095490915 40.79751738841449, -73.96620493503099 40.79751956541961, -73.966214659394 40.79752059664077, -73.96622789962892 40.79752138305492, -73.96623767895969 40.79752150838771, -73.96625199104457 40.79752100379664, -73.96625997793475 40.797520361377025, -73.96627173567254 40.797519055491684, -73.96628294925591 40.797518266332624, -73.96629304156119 40.797518099089906, -73.96629580247365 40.79751814132017, -73.96630506264434 40.79751856636182, -73.96631503707685 40.79751951119972, -73.96632497214816 40.79752096660842, -73.966332180683 40.7975223554835, -73.96633996369717 40.797524183069214, -73.96634579284265 40.79752578495899, -73.96635177826944 40.797527648939514, -73.96635920657464 40.79753028777049, -73.96637191597912 40.79753571879003, -73.96732166897759 40.79793205237155, -73.96690585047749 40.79850233802607, -73.9663265042643 40.798258912915294, -73.96614862978414 40.7985028565481, -73.96614796515927 40.79850257719812, -73.96600370094663 40.79870042669484, -73.96527330804926 40.79839352835539)))","DOUGLASS II","582","MANHATTAN"
"MULTIPOLYGON (((-73.94075996605123 40.81975705561989, -73.94112282267244 40.819263160637554, -73.94166788228048 40.81949314533025, -73.94148979492734 40.8197403566557, -73.94131043874435 40.81998932842196, -73.94075996605123 40.81975705561989)), ((-73.94188977889249 40.819909127364724, -73.94206786283756 40.819661919029095, -73.94355798699648 40.8202906498794, -73.94320055564289 40.82078683606479, -73.94202179529026 40.820289481569425, -73.94220114962158 40.82004050780837, -73.94188977889249 40.819909127364724)), ((-73.94030417608734 40.82037743280041, -73.9406632915944 40.81988864048779, -73.94191840523384 40.820418232039245, -73.94174345780716 40.82066108419725, -73.94182858166425 40.8206970002457, -73.94164977603762 40.8209452064564, -73.94030417608734 40.82037743280041)), ((-73.94199046405551 40.82076530520336, -73.94216540966947 40.82052245267426, -73.94310532658736 40.82091903150322, -73.94275158178111 40.82141009244291, -73.9418116588511 40.82101350986153, -73.94199046405551 40.82076530520336)), ((-73.94185923533244 40.82185272431413, -73.94222841311779 40.82134807818399, -73.94269215494276 40.8215440648665, -73.94232297958771 40.82204871156417, -73.94185923533244 40.82185272431413)))","DREW-HAMILTON","111","MANHATTAN"
"MULTIPOLYGON (((-73.92091332136812 40.86204575750596, -73.92300139471747 40.85920027053433, -73.9244133184264 40.86140069786692, -73.9237372897295 40.86177375292719, -73.92143786463845 40.86261915533189, -73.92091332136812 40.86204575750596)))","DYCKMAN","041","MANHATTAN"
"MULTIPOLYGON (((-73.91746457327038 40.81834459401075, -73.91760511782516 40.81803839860561, -73.91777613868041 40.81808260361572, -73.91791691181693 40.817775906405046, -73.91825630441781 40.81786272129432, -73.91811515947019 40.81817023269923, -73.91809805721142 40.818165811719574, -73.9179575146549 40.81847200861977, -73.91746457327038 40.81834459401075)), ((-73.91709297790592 40.818962595054536, -73.91720791698923 40.81870268079419, -73.91729700716867 40.81872576953269, -73.9174004743813 40.81875258125103, -73.9174678078487 40.818770039672316, -73.91755846353097 40.81879353005023, -73.91767904896801 40.818520842201366, -73.91810062691741 40.81863009983247, -73.91798004300895 40.81890278901771, -73.91786354945708 40.819166227474454, -73.91709297790592 40.818962595054536)))","EAST 152ND STREET-COURTLANDT AVENUE","237","BRONX"
"MULTIPOLYGON (((-73.89008824983445 40.824729478227674, -73.8904488568967 40.82471152238964, -73.89047413242307 40.82501420498328, -73.8897596937513 40.825049777278885, -73.88973464926715 40.82474983405785, -73.8900884788419 40.82473221685508, -73.89008824983445 40.824729478227674)), ((-73.88913674117272 40.8246710184627, -73.88949927109816 40.82465368968562, -73.88953299386543 40.825057418964356, -73.8888096875951 40.82509199173707, -73.88878703774748 40.82482081156719, -73.88914781399076 40.82480356955116, -73.88914283954801 40.82474400864782, -73.88913844621547 40.82469141994459, -73.88913674117272 40.8246710184627)), ((-73.88813602530759 40.82394638796082, -73.88849958059755 40.82392829159723, -73.88859762921574 40.82510720356541, -73.88787351688471 40.82514324740216, -73.88785052647326 40.82486678710643, -73.88821107560676 40.82484884091018, -73.88820563180442 40.82478338306154, -73.88819970929573 40.824712162472125, -73.88819400638145 40.82464359945887, -73.8881883116391 40.82457511839768, -73.88818259948134 40.824506426602554, -73.88817690476375 40.82443794463866, -73.88817117751701 40.82436907542885, -73.8881654816393 40.824300592561244, -73.88815965796765 40.82423056791895, -73.88815396329636 40.824162086851366, -73.88814840808085 40.824095275438374, -73.88814271224699 40.82402679436763, -73.88813703853155 40.823958560953564, -73.88813602530759 40.82394638796082)), ((-73.88919864205968 40.82524418978035, -73.88955924807927 40.82522583329952, -73.8895761298769 40.825444493538896, -73.88921560210963 40.8254628456457, -73.88922205355895 40.82554316619472, -73.88884519893384 40.82556234792484, -73.88883308665076 40.82542784984933, -73.88883286901029 40.82542543270775, -73.88883242092717 40.82542045613411, -73.8888182751605 40.825263551748115, -73.88919864205968 40.82524418978035)), ((-73.8882503937134 40.82528677502725, -73.88861238534358 40.82526881996861, -73.88866631751742 40.825916900594585, -73.8883043223748 40.825934856721034, -73.88829594424742 40.825834174941996, -73.88827318631621 40.82556068482562, -73.8882503937134 40.82528677502725)))","EAST 165TH STREET-BRYANT AVENUE","304","BRONX"
"MULTIPOLYGON (((-73.88809177522428 40.83340826835168, -73.88867104691013 40.832441472185, -73.8889932961983 40.8319036288972, -73.88932282231012 40.83201627247423, -73.88965492787071 40.832129796457686, -73.8895799895674 40.83225467293577, -73.88924798304176 40.83214118305334, -73.88924756477398 40.83214104037344, -73.88921009526791 40.83220347893657, -73.88921056330145 40.83220363877391, -73.88923061408542 40.83221049279208, -73.88902034755758 40.83256087500613, -73.88900057513999 40.8325541166723, -73.88892879248509 40.832673924168894, -73.88887266254574 40.83276760533061, -73.88887174543116 40.83276729197513, -73.88879457457874 40.83289588392434, -73.88879559478143 40.83289623249928, -73.88877642736581 40.83292822211204, -73.8884957739363 40.83339663174421, -73.88882640730347 40.83351041239885, -73.88875146707687 40.83363528741022, -73.8884209315642 40.83352154085689, -73.88809177522428 40.83340826835168)), ((-73.88788726522493 40.83373990662036, -73.88799894736026 40.833553879226415, -73.88866720602117 40.83378459460606, -73.88840416186916 40.8342280817443, -73.88807232596083 40.834113516198485, -73.88811349396327 40.8340449429374, -73.88814023540282 40.83400040068398, -73.88816854263027 40.83395324760662, -73.88819674399812 40.83390627361795, -73.88822634231423 40.833856972296076, -73.88788726522493 40.83373990662036)), ((-73.88872483155859 40.834040032370574, -73.88880378240155 40.83390781591472, -73.88914726889067 40.834025559399926, -73.88906831740655 40.83415777518663, -73.88903536993521 40.834212951029365, -73.88899482159678 40.834280855244856, -73.88896590922793 40.83432927493559, -73.88893805140525 40.8343759252615, -73.88890912706658 40.834424363836064, -73.88856564012418 40.83430662055144, -73.88859456466325 40.8342581811614, -73.88862242149368 40.83421153001594, -73.88865133524514 40.83416311131186, -73.88872483155859 40.834040032370574)), ((-73.8870964139482 40.835057185814044, -73.8873137369769 40.83469520675491, -73.88765320076814 40.83481163782082, -73.88768328141883 40.83476153387353, -73.88771130037573 40.83471486329832, -73.88773974493762 40.834667484440786, -73.88777512937202 40.834608547274385, -73.8878095637742 40.83455119134182, -73.88784861956027 40.834486136159406, -73.88788697022048 40.83442225812496, -73.88792524352895 40.834358506971576, -73.8879637307732 40.834294399416905, -73.88829702374748 40.83440871274267, -73.8877744498414 40.83528973936866, -73.8870964139482 40.835057185814044)), ((-73.88836021739594 40.83465062522162, -73.88847314743296 40.83446150900717, -73.88881663619664 40.83457925256552, -73.88880888194029 40.834592237428666, -73.88870328010836 40.83476908189236, -73.8886649698787 40.83483323758559, -73.88859829240356 40.83494489668212, -73.88859530694629 40.83494989604649, -73.88852631790853 40.83506542499404, -73.88847909846939 40.835144501312584, -73.88837157352191 40.835324560165375, -73.88802850734858 40.83520610341825, -73.88813603184921 40.835026043980186, -73.88825522778579 40.83482643970122, -73.88836021739594 40.83465062522162)))","EAST 173RD STREET-VYSE AVENUE","338","BRONX"
"MULTIPOLYGON (((-73.87243657594557 40.667238797506386, -73.87273319133577 40.66711080150106, -73.87276773354326 40.66715739732262, -73.87280492046393 40.667207562103385, -73.87284238936574 40.66725810720168, -73.87289351816041 40.667327078444, -73.87290769231262 40.667346198564864, -73.87261154492207 40.667473992919355, -73.87243657594557 40.667238797506386)), ((-73.87371287257173 40.667545059360265, -73.87333747838879 40.66703617712721, -73.8736631476028 40.66689673272375, -73.87373371540374 40.666992200131915, -73.8737722993508 40.667044396798886, -73.87380588060996 40.66708982598516, -73.87384091874227 40.667137225288485, -73.87387475370889 40.66718299963012, -73.87399659516535 40.66713082933873, -73.87404400651268 40.66719496742744, -73.87408161054763 40.6672458400573, -73.87412403223844 40.66730322778061, -73.87416096873086 40.66735319463398, -73.87371287257173 40.667545059360265)), ((-73.87294826020222 40.667400923647534, -73.87325846078289 40.66726706452181, -73.87331639993776 40.66734522294524, -73.87336513938146 40.66741097019742, -73.8731898738176 40.667486602436945, -73.87334590801956 40.66769708368325, -73.87315344490203 40.667780136098266, -73.87299741229548 40.667569654594125, -73.87305493834583 40.66754482960865, -73.87301875961823 40.66749602490324, -73.8729800494951 40.66744380803535, -73.87294826020222 40.667400923647534)), ((-73.8734720717727 40.66865324871924, -73.87302928965609 40.66805713491926, -73.87321730723606 40.66797705041985, -73.8733746526455 40.66818899189554, -73.87349662601233 40.668137038406485, -73.87354984431337 40.66820872130038, -73.87358532324396 40.66825651018257, -73.87363854173418 40.66832819393498, -73.87370949990192 40.66842377073135, -73.8737437652017 40.66846992379353, -73.87378189390958 40.66852128156661, -73.8734720717727 40.66865324871924)), ((-73.87445646151323 40.671206209535896, -73.87482617213664 40.67115206631473, -73.87483225941827 40.67117670205644, -73.87484802581989 40.671240500971344, -73.87486558345266 40.67131155548999, -73.87488225256358 40.67137901057622, -73.87490091598818 40.671454540955736, -73.87490109558328 40.67145526606667, -73.87491993864775 40.67153152065266, -73.87493372383511 40.67158729920281, -73.87493948956772 40.67161063604353, -73.87456977530965 40.6716647805252, -73.87445646151323 40.671206209535896)))","EAST NEW YORK CITY LINE","263","BROOKLYN"
"MULTIPOLYGON (((-73.93855791263043 40.78732998546099, -73.93864616146736 40.787383844623484, -73.93866871208115 40.78738031045275, -73.93869468268467 40.78737725266079, -73.93873269765987 40.787374190460554, -73.93875829723959 40.7873739105031, -73.93879154414026 40.78737531943945, -73.93882549544968 40.78738117451437, -73.93885686076584 40.78738922452964, -73.93887881489186 40.787396602274306, -73.93889328419444 40.78740208859612, -73.93890956581394 40.787409285027934, -73.93893639865206 40.78742203233452, -73.93895769329515 40.78743283432056, -73.93914229801979 40.7873878528609, -73.93959103452626 40.78681058581696, -73.93945539552496 40.786476398054404, -73.93932006777466 40.78645996477327, -73.93958125342982 40.7861640153641, -73.94172974182466 40.78706481788996, -73.94045118479467 40.78881562364167, -73.93822363585191 40.7878753357593, -73.93824524406845 40.787834222354725, -73.9385181573318 40.78737272815999, -73.93855791263043 40.78732998546099)))","EAST RIVER","009","MANHATTAN"
"MULTIPOLYGON (((-74.00174981016117 40.748750586041176, -74.00192416999113 40.74850828767414, -74.0030396014655 40.748976834800125, -74.00268505485631 40.74946953839625, -74.00172467670342 40.74906613456677, -74.00190487238437 40.74881572529368, -74.00174981016117 40.748750586041176)), ((-74.00039475743097 40.749486234680774, -74.00067337957775 40.749103564239896, -74.00071303963131 40.74912028820028, -74.00088541501076 40.748883538548405, -74.00164836565703 40.74920525666946, -74.00151768283519 40.74938474643249, -74.00112076290107 40.749396161290534, -74.0009000471139 40.74969930417235, -74.00039475743097 40.749486234680774)), ((-74.00170187717089 40.74957938913798, -74.00189772158465 40.749310401321836, -74.00257676003902 40.74959672654025, -74.00212577475298 40.75021615328695, -74.00185810027922 40.75010328579913, -74.00184616510523 40.74978389633274, -74.00171716300112 40.74972950056184, -74.00171645310249 40.7497053318919, -74.00170544085702 40.74970068814585, -74.00170187717089 40.74957938913798)))","ELLIOTT","015","MANHATTAN"
