year,nycha_development,borough,total_number_of_resident_job_placements,average_wage_of_such_residents,total_number_of_resident_connections_to_services,total_number_of_residents_that_applied_for_the_nycha_resident_training_academy,total_number_of_residents_that_were_accepted_and_enrolled,total_number_residents_placed_into_full-time_or_part-time_jobs,number_of_residents_that_enrolled_in_financial_counseling_services/workshops_through_the_rees_zone_partner_program,total_number_of_residents_enrolled_in_vocational_training_programs_through_the_program,total_number_of_residents_enrolled_in_prep_courses_for_english_as_a_second_language_(esol)_or_the_test_assessing_secondary_completion_(tasc)_through_the_program,service_connections
2024.0,TOMPKINS,Unknown,14.0,17.31,31.0,16.0,7.0,9.0,0.0,0.0,0.0,31.0
2024.0,TODT HILL,Unknown,0.0,26.52,47.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
2024.0,TILDEN,Unknown,12.0,21.12,43.0,11.0,5.0,6.0,6.0,6.0,0.0,43.0
2024.0,THROGGS NECK ADDITION,Unknown,0.0,41.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,THROGGS NECK,Unknown,10.0,24.4,17.0,6.0,0.0,0.0,0.0,0.0,0.0,17.0
2024.0,THOMAS APARTMENTS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,TELLER AVENUE-EAST 166TH STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,TAYLOR STREET-WYTHE AVENUE,Unknown,0.0,17.11,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
2024.0,TAPSCOTT STREET REHAB,Unknown,0.0,18.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,TAFT,Unknown,0.0,17.52,30.0,9.0,0.0,0.0,0.0,0.0,0.0,30.0
2024.0,SUTTER AVENUE-UNION STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SURFSIDE GARDENS,Unknown,0.0,41.45,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,SUMNER,Unknown,0.0,31.5,18.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0
2024.0,STUYVESANT GARDENS II,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,STUYVESANT GARDENS I,Unknown,5.0,17.31,15.0,11.0,0.0,0.0,0.0,0.0,0.0,15.0
2024.0,STRAUS,Unknown,0.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2024.0,STERLING PLACE REHABS (STERLING-BUFFALO),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,STERLING PLACE REHABS (SAINT JOHNS-STERLING),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,STEBBINS AVENUE-HEWITT PLACE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,STAPLETON,Unknown,0.0,16.7,74.0,8.0,0.0,0.0,0.0,0.0,0.0,74.0
2024.0,STANTON STREET,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SOUTH JAMAICA II,Unknown,6.0,29.33,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
2024.0,SOUTH JAMAICA I,Unknown,5.0,16.85,12.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
2024.0,SOUTH BRONX AREA (SITE 402),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SOUTH BEACH,Unknown,0.0,17.11,24.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
2024.0,SOUNDVIEW,Unknown,6.0,33.58,18.0,5.0,0.0,0.0,0.0,0.0,0.0,18.0
2024.0,SOTOMAYOR HOUSES,Unknown,0.0,0.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,38.0
2024.0,SMITH,Unknown,15.0,38.13,52.0,6.0,0.0,0.0,0.0,11.0,0.0,52.0
2024.0,SHELTON HOUSE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SHEEPSHEAD BAY,Unknown,0.0,24.05,23.0,7.0,0.0,0.0,0.0,0.0,0.0,23.0
2024.0,SEWARD PARK EXTENSION,Unknown,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2024.0,SEDGWICK,Unknown,0.0,17.11,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
2024.0,SARATOGA VILLAGE,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SAMUEL (MHOP) III,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SAMUEL (MHOP) II,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SAMUEL (MHOP) I,Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,SAMUEL (CITY),Unknown,0.0,41.85,21.0,0.0,0.0,0.0,0.0,6.0,0.0,21.0
2024.0,SAINT NICHOLAS,Unknown,13.0,18.02,32.0,16.0,5.0,0.0,0.0,17.0,0.0,32.0
2024.0,SAINT MARY'S PARK,Unknown,5.0,20.42,23.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
2024.0,SACK WERN,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,RUTLAND TOWERS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,RUTGERS,Unknown,0.0,41.45,33.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
2024.0,ROOSEVELT II,Unknown,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,ROOSEVELT I,Unknown,8.0,20.68,18.0,12.0,0.0,0.0,0.0,0.0,0.0,18.0
2024.0,ROBINSON,Unknown,0.0,23.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,ROBBINS PLAZA,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,RIIS,Unknown,8.0,29.74,25.0,7.0,0.0,0.0,0.0,6.0,0.0,25.0
2024.0,RICHMOND TERRACE,Unknown,0.0,17.31,45.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
2024.0,REID APARTMENTS,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,REHAB PROGRAM (WISE REHAB),Unknown,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
2024.0,REHAB PROGRAM (TAFT REHABS),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,REHAB PROGRAM (DOUGLASS REHABS),Unknown,0.0,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,REHAB PROGRAM (COLLEGE POINT),Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024.0,REDFERN,Unknown,0.0,17.31,16.0,7.0,0.0,0.0,0.0,0.0,0.0,16.0
2024.0,RED HOOK WEST,Unknown,7.0,27.24,36.0,15.0,6.0,0.0,0.0,6.0,0.0,36.0
2024.0,RED HOOK EAST,Unknown,7.0,22.48,35.0,14.0,0.0,0.0,0.0,7.0,0.0,35.0
2024.0,RAVENSWOOD,Unknown,10.0,19.69,102.0,13.0,6.0,5.0,7.0,12.0,0.0,102.0
